300
('X', (0, 3), (0, 4)), 299.9996789249999
('O', (3, 2), (2, 2)), 271.4699575609993
('O', (4, 2), (4, 1)), 282.5424305600027
('O', (4, 4), (4, 3)), 260.6156789789966
('X', (0, 0), (0, 1)), 277.7955252899992
('X', (2, 0), (2, 1)), 253.02084128299612
('O', (4, 5), (5, 5)), 273.9727058349963
('O', (2, 5), (3, 5)), 250.48200103300042
('O', (1, 5), (1, 4)), 272.86160650999227
('X', (5, 0), (4, 0)), 250.0436960280058
('O', (2, 5), (2, 4)), 272.41074177499104
('O', (1, 5), (0, 5)), 248.9483644710126
('X', (5, 3), (5, 2)), 271.75254197898903
('X', (5, 4), (4, 4)), 248.1141610800114
('O', (2, 5), (1, 5)), 270.95808861398837
('O', (4, 5), (2, 5)), 244.45341117601492
