300
('O', (2, 5), (2, 4)), 299.999674673003
('O', (3, 5), (3, 4)), 280.58317074598745
('O', (5, 5), (4, 5)), 294.7904652760044
('X', (1, 3), (1, 4)), 273.04189721899456
('X', (3, 3), (2, 3)), 290.7564438050031
('X', (3, 2), (2, 2)), 270.1261309509864
('O', (5, 2), (5, 1)), 289.7522468770039
('X', (4, 2), (3, 2)), 269.01653151797655
('X', (4, 1), (3, 1)), 288.9202629030042
('X', (4, 3), (4, 2)), 268.2939920539793
('O', (5, 4), (5, 5)), 286.94790395100426
('O', (5, 3), (5, 4)), 262.7780959839729
('O', (5, 2), (5, 3)), 286.4670463680086
('O', (1, 2), (0, 2)), 257.43934273996274
('O', (1, 3), (1, 2)), 286.22942149901064
('O', (0, 3), (1, 3)), 256.9562065479695
('O', (0, 4), (0, 5)), 286.0804371300037
('X', (4, 4), (4, 3)), 256.4438112159696
('O', (0, 3), (0, 4)), 284.76658093900187
('O', (3, 3), (2, 1)), 253.32164896397444
('X', (4, 1), (4, 0)), 284.355126526003
('X', (1, 1), (1, 0)), 248.23196974897292
('X', (0, 1), (1, 1)), 284.30919649801217
('O', (3, 5), (2, 5)), 247.90608881396474
('X', (0, 0), (0, 1)), 284.27211020600225
('O', (1, 5), (0, 3)), 247.81199602596462
