300
('O', (2, 1), (3, 1)), 299.9996417700022
('O', (2, 4), (2, 3)), 285.7681819779973
('X', (5, 3), (4, 3)), 281.61373524199007
('O', (3, 4), (2, 4)), 278.26773237499583
('O', (3, 2), (4, 2)), 280.2027214619884
('O', (3, 4), (4, 4)), 276.70253832198796
('O', (3, 3), (3, 2)), 279.51420485199196
('O', (3, 4), (3, 5)), 276.30547840698273
('X', (5, 5), (5, 4)), 279.4022405149881
('X', (4, 5), (5, 5)), 276.0399070579733
('X', (4, 1), (4, 0)), 275.40624971500074
('O', (3, 3), (3, 4)), 272.2974181669706
('O', (1, 3), (1, 4)), 269.9096029409993
