300
('O', (2, 3), (2, 4)), 299.99963150100666
('O', (2, 0), (2, 1)), 289.1526020490128
('O', (0, 0), (1, 0)), 281.4028098810086
('X', (2, 3), (2, 2)), 274.90021780000825
('O', (0, 4), (1, 4)), 272.813101148
('O', (0, 3), (0, 4)), 273.25844938101363
('X', (3, 3), (3, 4)), 271.44447572100034
('X', (1, 3), (2, 3)), 271.44015940501413
('X', (1, 2), (0, 2)), 271.26174937000906
('X', (1, 3), (1, 2)), 271.31528246801463
('O', (0, 1), (1, 1)), 269.3414248780027
('O', (0, 0), (0, 1)), 270.8999604730052
('O', (0, 3), (3, 1)), 268.48266076800064
