300
('X', (4, 3), (4, 2)), 299.99955626099836
('X', (1, 3), (2, 3)), 286.48668156900385
('O', (2, 1), (2, 2)), 290.2241389330011
('X', (1, 4), (1, 3)), 280.11254846301745
('O', (3, 1), (3, 2)), 281.1232193420001
('O', (5, 1), (5, 2)), 276.26107123101247
('O', (4, 1), (5, 1)), 271.8830710559996
('O', (3, 1), (4, 1)), 272.41205827501835
('O', (2, 1), (1, 1)), 270.3811277569912
('X', (3, 4), (2, 4)), 271.522390757018
('O', (3, 1), (2, 1)), 268.9986741439934
('O', (3, 0), (3, 1)), 269.5918939150142
