300
('O', (2, 4), (3, 4)), 299.99955783500627
('O', (1, 4), (1, 3)), 290.4219935340079
('O', (1, 5), (2, 5)), 292.36568756699853
('O', (0, 5), (0, 4)), 288.9490894680057
('X', (4, 3), (3, 3)), 291.46136923901213
('X', (4, 5), (3, 5)), 288.16580315699684
('X', (5, 5), (5, 4)), 290.7184312780155
('X', (4, 5), (5, 5)), 288.09191678599746
('X', (4, 2), (3, 2)), 290.0591226150136
('X', (5, 2), (4, 2)), 287.8306865099876
('O', (1, 5), (0, 5)), 289.70584951300407
('X', (5, 1), (4, 1)), 287.78250842299894
('O', (1, 4), (2, 4)), 289.679265401006
('O', (1, 5), (1, 4)), 287.78203415698954
