300
('X', (5, 3), (5, 4)), 299.9997222539969
('X', (1, 3), (1, 2)), 248.91648087599606
('O', (2, 4), (2, 5)), 290.448126547999
('O', (2, 3), (2, 2)), 231.4318109149899
('O', (3, 3), (3, 2)), 288.7967643969896
('X', (2, 3), (1, 3)), 228.2161267009942
('X', (2, 4), (1, 4)), 287.7361880649987
('X', (4, 4), (3, 4)), 226.82399907500076
('O', (4, 3), (5, 3)), 287.1854066530068
('O', (4, 2), (4, 1)), 225.70673319698835
('O', (5, 2), (5, 1)), 286.92474215901166
('X', (4, 2), (4, 3)), 219.19394692298374
('X', (4, 0), (3, 0)), 257.37738098001864
('O', (4, 2), (5, 2)), 217.64187010798196
('X', (5, 0), (4, 0)), 251.49027570302133
('X', (2, 0), (2, 1)), 192.76753611398453
('X', (1, 0), (1, 1)), 249.07144536601845
