300
('O', (4, 2), (5, 2)), 299.99984172599216
('O', (2, 2), (3, 2)), 259.8923386430106
('X', (4, 3), (5, 3)), 280.56170202999783
('X', (4, 1), (5, 1)), 237.3188216300041
('O', (0, 2), (1, 2)), 262.28094863001024
('X', (2, 1), (1, 1)), 224.75823679000314
('X', (2, 5), (2, 4)), 249.51755487601622
('O', (0, 4), (0, 3)), 221.1568389180029
('X', (3, 5), (2, 5)), 248.92752496502362
('X', (3, 4), (3, 3)), 220.47779766000167
('X', (3, 5), (3, 4)), 247.46894628602604
('O', (1, 4), (1, 5)), 220.1628195020021
('O', (0, 4), (1, 4)), 247.372835451024
('O', (0, 5), (0, 4)), 219.6477776610118
('O', (4, 5), (5, 5)), 246.52182664701832
('O', (4, 4), (4, 3)), 216.88505857800192
('O', (5, 4), (4, 4)), 246.45527051502722
