300
('X', (3, 1), (3, 0)), 299.9998859789994
('O', (3, 2), (3, 3)), 282.48352093299764
('X', (5, 1), (4, 1)), 299.998833124002
('X', (5, 3), (5, 2)), 279.6319404899914
('X', (4, 3), (4, 2)), 299.99872511500143
('X', (4, 5), (4, 4)), 272.1571258169861
('X', (1, 5), (2, 5)), 299.9971097769958
('X', (0, 5), (0, 4)), 268.09371261998604
('O', (2, 2), (2, 1)), 299.9955125999986
('O', (0, 2), (0, 1)), 267.6649190639873
('O', (1, 2), (0, 2)), 299.9944922740033
('O', (2, 2), (2, 3)), 266.8312218589854
('O', (3, 2), (3, 1)), 299.99370493700553
('O', (2, 2), (1, 2)), 266.8066179709858
('X', (1, 5), (1, 4)), 299.99363580700447
('X', (0, 5), (1, 5)), 266.78255698997964
('X', (3, 5), (3, 4)), 299.992173577004
('X', (4, 5), (5, 5)), 266.05218077198515
('O', (3, 2), (2, 2)), 299.9905238470092
('O', (3, 5), (1, 1)), 265.9578603709815
