300
('O', (3, 2), (4, 2)), 277.95858031399985
('O', (2, 2), (3, 2)), 290.85773992399845
('O', (2, 3), (2, 4)), 272.0468092989977
('O', (1, 3), (2, 3)), 288.5672491959958
('O', (1, 4), (1, 5)), 270.2685441319991
('O', (0, 4), (1, 4)), 287.04827161799767
('O', (0, 5), (0, 4)), 268.60219689199585
('X', (4, 3), (5, 3)), 284.0418375989975
('X', (4, 4), (5, 4)), 266.41912949599646
('X', (3, 4), (4, 4)), 279.33697969499553
('X', (3, 5), (2, 5)), 263.7674312579984
('X', (3, 4), (3, 3)), 277.31991850199483
('X', (3, 5), (3, 4)), 262.18932557899825
('X', (5, 5), (4, 5)), 273.55603622899434
('O', (3, 5), (4, 3)), 243.94966127299995
('O', (0, 5), (0, 0)), 259.35485289799544
('O', (3, 5), (0, 5)), 233.89511983600096
('O', (3, 1), (4, 1)), 258.5068959049968
('O', (2, 1), (3, 1)), 223.93538226199962
('O', (1, 1), (0, 1)), 256.28271150699584
('O', (2, 1), (2, 0)), 221.97636638599943
('O', (2, 2), (1, 2)), 254.79998660799538
('X', (3, 5), (0, 2)), 221.93095694699878
('O', (2, 1), (2, 2)), 254.72495440299463
