300
('O', (3, 2), (4, 2)), 277.64889078099804
('O', (2, 2), (2, 1)), 294.6677134979982
('X', (2, 3), (1, 3)), 268.21256682799867
('O', (1, 2), (0, 2)), 292.14974143900326
('X', (5, 3), (4, 3)), 265.7513514139937
('X', (5, 1), (4, 1)), 289.46810838200327
('O', (1, 0), (2, 0)), 264.3875089709909
('X', (5, 4), (5, 3)), 288.8588548600019
('X', (4, 4), (3, 4)), 263.5513691619926
('O', (0, 0), (1, 0)), 288.54895652499545
('O', (0, 1), (1, 1)), 263.47573191898846
('X', (4, 5), (3, 5)), 288.4598415579967
('O', (0, 0), (0, 1)), 263.4223578409874
('O', (3, 0), (3, 1)), 288.4304338689981
